attr;boolean;deprecated;tags;doc;url
accept;0;0;form,input;List of types the server accepts, typically a file type.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/accept
accept-charset;0;0;form;List of supported charsets.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
accesskey;0;0;global;Keyboard shortcut to activate or add focus to the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/accesskey
action;0;0;form;The URI of a program that processes the information submitted via the form.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
align;0;0;applet,caption,col,colgroup,hr,iframe,img,table,tbody,td,tfoot ,th,thead,tr;Specifies the horizontal alignment of the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
allow;0;0;iframe;Specifies a feature-policy for the iframe.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
alt;0;0;applet,area,img,input;Alternative text in case an image can't be displayed.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
aria-*;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
async;1;0;script;Executes the script asynchronously.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
autocapitalize;0;0;global;Sets whether input is automatically capitalized when entered by user;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/autocapitalize
autocomplete;1;0;form,input,select,textarea;Indicates whether controls in this form can by default have their values automatically completed by the browser.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/autocomplete
autofocus;1;0;button,input,keygen,select,textarea;The element should be automatically focused after the page loaded.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
autoplay;1;0;audio,video;The audio or video should play as soon as possible.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
background;0;1;body,table,td,th;Specifies the URL of an image file. Note: Although browsers and email clients may still support this attribute, it is obsolete. Use CSS background-image instead.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
bgcolor;0;0;body,col,colgroup,marquee,table,tbody,tfoot,td,th,tr;Background color of the element. Note: This is a legacy attribute. Please use the CSS background-color property instead.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
border;0;0;img,object,table;The border width. Note: This is a legacy attribute. Please use the CSS border property instead.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
buffered;0;0;audio,video;Contains the time range of already buffered media.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
capture;0;0;input;From the HTML Media Capture. The definition of 'media capture' in that specification.spec, specifies a new file can be captured.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/capture
challenge;0;1;keygen;A challenge string that is submitted along with the public key.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
charset;0;0;meta,script;Declares the character encoding of the page or script.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
checked;1;0;command,input;Indicates whether the element should be checked on page load.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
cite;0;0;blockquote,del,ins,q;Contains a URI which points to the source of the quote or change.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
class;0;0;global;Often used with CSS to style elements with common properties.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/class
code;0;1;applet;Specifies the URL of the applet's class file to be loaded and executed.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
codebase;0;1;applet;This attribute gives the absolute or relative URL of the directory where applets' .class files referenced by the code attribute are stored.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
color;0;0;basefont,font,hr;This attribute sets the text color using either a named color or a color specified in the hexadecimal #RRGGBB format. Note: This is a legacy attribute. Please use the CSS color property instead.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
cols;0;0;textarea;Defines the number of columns in a textarea.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
colspan;0;0;td,th;The colspan attribute defines the number of columns a cell should span.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
content;0;0;meta;A value associated with http-equiv or name depending on the context.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
contenteditable;1;0;global;Indicates whether the element's content is editable.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/contenteditable
contextmenu;0;0;global;Defines the ID of a <menu> element which will serve as the element's context menu.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
controls;1;0;audio,video;Indicates whether the browser should show playback controls to the user.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
coords;0;0;area;A set of values specifying the coordinates of the hot-spot region.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
crossorigin;0;0;audio,img,link,script,video;How the element handles cross-origin requests;https://developer.mozilla.org/docs/Web/HTML/CORS_settings_attributes
csp;0;0;iframe;Specifies the Content Security Policy that an embedded document must agree to enforce upon itself.;https://developer.mozilla.org/docs/Web/API/HTMLiframeElement/csp
